Origin Time:2025/01/21 00:17:27
Lon:120.57¢XE
Lat:23.23¢XN
Depth:9.7km
Mag:6.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   5.54,BAZ=255.17,PGA(V)= 493.40,PGA(NS)= 892.15,PGA(EW)=2104.96,PGV(V)=   8.93,PGV(NS)=  30.98,PGV(EW)=  72.95,Int= 6®z,PGA(SUM)=2057.49,PGV(SUM)=  79.10
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist= 118.64,BAZ=238.70,PGA(V)=   1.30,PGA(NS)=   2.47,PGA(EW)=   2.47,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.60,PGV(SUM)=   0.21
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 122.09,BAZ=198.29,PGA(V)=   8.55,PGA(NS)=  15.32,PGA(EW)=  16.93,PGV(V)=   0.70,PGV(NS)=   1.23,PGV(EW)=   1.14,Int= 3¯Å,PGA(SUM)=  20.04,PGV(SUM)=   1.24
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist= 123.87,BAZ=215.34,PGA(V)=   6.38,PGA(NS)=  15.02,PGA(EW)=  16.49,PGV(V)=   0.47,PGV(NS)=   0.82,PGV(EW)=   1.04,Int= 3¯Å,PGA(SUM)=  17.80,PGV(SUM)=   1.32
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 123.89,BAZ=183.31,PGA(V)=  12.99,PGA(NS)=  20.14,PGA(EW)=  22.29,PGV(V)=   0.77,PGV(NS)=   1.63,PGV(EW)=   2.11,Int= 3¯Å,PGA(SUM)=  22.91,PGV(SUM)=   2.18
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist= 124.47,BAZ=229.16,PGA(V)=   7.88,PGA(NS)=  12.96,PGA(EW)=  13.89,PGV(V)=   0.48,PGV(NS)=   0.78,PGV(EW)=   1.11,Int= 3¯Å,PGA(SUM)=  14.79,PGV(SUM)=   1.17
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 125.40,BAZ=189.87,PGA(V)=  11.05,PGA(NS)=  24.01,PGA(EW)=  17.37,PGV(V)=   0.61,PGV(NS)=   1.19,PGV(EW)=   1.28,Int= 3¯Å,PGA(SUM)=  24.09,PGV(SUM)=   1.30
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist= 127.92,BAZ=208.14,PGA(V)=   7.43,PGA(NS)=  16.77,PGA(EW)=   9.56,PGV(V)=   0.41,PGV(NS)=   1.08,PGV(EW)=   0.64,Int= 3¯Å,PGA(SUM)=  17.37,PGV(SUM)=   1.15
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist= 128.99,BAZ=234.73,PGA(V)=   7.59,PGA(NS)=  17.32,PGA(EW)=  15.08,PGV(V)=   0.54,PGV(NS)=   1.05,PGV(EW)=   1.12,Int= 3¯Å,PGA(SUM)=  17.53,PGV(SUM)=   1.27
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist= 131.89,BAZ=211.39,PGA(V)=   3.86,PGA(NS)=   6.93,PGA(EW)=   9.23,PGV(V)=   0.29,PGV(NS)=   0.66,PGV(EW)=   0.79,Int= 3¯Å,PGA(SUM)=   9.84,PGV(SUM)=   0.82
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 132.63,BAZ=188.82,PGA(V)=   6.89,PGA(NS)=  15.34,PGA(EW)=  12.42,PGV(V)=   0.51,PGV(NS)=   1.07,PGV(EW)=   0.83,Int= 3¯Å,PGA(SUM)=  16.14,PGV(SUM)=   1.15
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist= 134.64,BAZ=232.27,PGA(V)=   5.14,PGA(NS)=  16.45,PGA(EW)=  15.20,PGV(V)=   0.53,PGV(NS)=   1.16,PGV(EW)=   1.40,Int= 3¯Å,PGA(SUM)=  20.01,PGV(SUM)=   1.41
Stacode=SMS ,Staname=º¡¦{  ,Stalon=120.84,Stalat=22.02,Dist= 136.83,BAZ=348.42,PGA(V)=   2.32,PGA(NS)=   3.91,PGA(EW)=   4.56,PGV(V)=   0.58,PGV(NS)=   0.59,PGV(EW)=   0.74,Int= 2¯Å,PGA(SUM)=   4.68,PGV(SUM)=   0.87
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist= 137.09,BAZ=352.42,PGA(V)=   3.90,PGA(NS)=   8.53,PGA(EW)=   6.72,PGV(V)=   0.64,PGV(NS)=   1.28,PGV(EW)=   1.45,Int= 3¯Å,PGA(SUM)=   9.19,PGV(SUM)=   1.51
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist= 141.43,BAZ=228.26,PGA(V)=   2.25,PGA(NS)=   3.45,PGA(EW)=   3.40,PGV(V)=   0.19,PGV(NS)=   0.24,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   3.99,PGV(SUM)=   0.36
Stacode=H176,Staname=®õ¦w  ,Stalon=120.94,Stalat=24.47,Dist= 141.82,BAZ=195.44,PGA(V)=   5.31,PGA(NS)=   8.06,PGA(EW)=  16.64,PGV(V)=   0.38,PGV(NS)=   0.61,PGV(EW)=   1.00,Int= 3¯Å,PGA(SUM)=  15.84,PGV(SUM)=   1.01
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist= 142.55,BAZ=220.70,PGA(V)=   8.19,PGA(NS)=  20.10,PGA(EW)=  14.06,PGV(V)=   0.37,PGV(NS)=   0.89,PGV(EW)=   0.85,Int= 3¯Å,PGA(SUM)=  20.08,PGV(SUM)=   0.94
Stacode=TWK1,Staname=¾Á¤B  ,Stalon=120.81,Stalat=21.94,Dist= 145.13,BAZ=350.06,PGA(V)=   1.55,PGA(NS)=   3.37,PGA(EW)=   3.28,PGV(V)=   0.37,PGV(NS)=   0.67,PGV(EW)=   0.94,Int= 2¯Å,PGA(SUM)=   3.97,PGV(SUM)=   1.10
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist= 148.61,BAZ=226.26,PGA(V)=   2.01,PGA(NS)=   9.16,PGA(EW)=   4.05,PGV(V)=   0.11,PGV(NS)=   0.43,PGV(EW)=   0.24,Int= 3¯Å,PGA(SUM)=   8.95,PGV(SUM)=   0.43
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 150.01,BAZ=190.00,PGA(V)=   4.62,PGA(NS)=   9.80,PGA(EW)=   9.16,PGV(V)=   0.44,PGV(NS)=   0.63,PGV(EW)=   0.77,Int= 3¯Å,PGA(SUM)=  12.25,PGV(SUM)=   0.92
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist= 150.18,BAZ=348.74,PGA(V)=   2.79,PGA(NS)=   5.11,PGA(EW)=   3.93,PGV(V)=   0.89,PGV(NS)=   1.14,PGV(EW)=   0.93,Int= 2¯Å,PGA(SUM)=   6.10,PGV(SUM)=   1.29
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist= 157.11,BAZ=211.74,PGA(V)=   3.02,PGA(NS)=   8.22,PGA(EW)=   9.43,PGV(V)=   0.22,PGV(NS)=   0.54,PGV(EW)=   0.72,Int= 3¯Å,PGA(SUM)=  10.60,PGV(SUM)=   0.85
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 161.21,BAZ=196.09,PGA(V)=   3.34,PGA(NS)=   7.68,PGA(EW)=   6.15,PGV(V)=   0.31,PGV(NS)=   0.70,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   7.94,PGV(SUM)=   0.72
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 163.25,BAZ=196.16,PGA(V)=   2.82,PGA(NS)=   4.66,PGA(EW)=   4.55,PGV(V)=   0.27,PGV(NS)=   0.33,PGV(EW)=   0.42,Int= 2¯Å,PGA(SUM)=   5.23,PGV(SUM)=   0.42
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 163.76,BAZ=190.76,PGA(V)=   4.32,PGA(NS)=  15.40,PGA(EW)=  13.05,PGV(V)=   0.30,PGV(NS)=   0.77,PGV(EW)=   0.67,Int= 3¯Å,PGA(SUM)=  16.47,PGV(SUM)=   0.89
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 164.87,BAZ=199.77,PGA(V)=   3.44,PGA(NS)=   7.95,PGA(EW)=   7.55,PGV(V)=   0.31,PGV(NS)=   0.43,PGV(EW)=   0.68,Int= 3¯Å,PGA(SUM)=   8.46,PGV(SUM)=   0.71
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 166.69,BAZ=322.47,PGA(V)=   2.56,PGA(NS)=  11.25,PGA(EW)=  10.14,PGV(V)=   0.19,PGV(NS)=   0.58,PGV(EW)=   0.63,Int= 3¯Å,PGA(SUM)=  11.79,PGV(SUM)=   0.67
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist= 169.42,BAZ=225.19,PGA(V)=   4.46,PGA(NS)=   7.60,PGA(EW)=   7.92,PGV(V)=   0.28,PGV(NS)=   0.60,PGV(EW)=   0.57,Int= 3¯Å,PGA(SUM)=   9.82,PGV(SUM)=   0.64
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist= 170.28,BAZ=224.41,PGA(V)=   3.76,PGA(NS)=   5.60,PGA(EW)=   6.07,PGV(V)=   0.18,PGV(NS)=   0.56,PGV(EW)=   0.39,Int= 2¯Å,PGA(SUM)=   6.68,PGV(SUM)=   0.58
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 174.79,BAZ=197.55,PGA(V)=   3.24,PGA(NS)=   7.03,PGA(EW)=   6.14,PGV(V)=   0.30,PGV(NS)=   0.53,PGV(EW)=   0.38,Int= 2¯Å,PGA(SUM)=   7.50,PGV(SUM)=   0.53
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 177.37,BAZ=194.90,PGA(V)=   3.20,PGA(NS)=   5.02,PGA(EW)=   5.18,PGV(V)=   0.25,PGV(NS)=   0.60,PGV(EW)=   0.47,Int= 2¯Å,PGA(SUM)=   6.59,PGV(SUM)=   0.63
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist= 178.72,BAZ=222.23,PGA(V)=   2.62,PGA(NS)=   6.06,PGA(EW)=   5.98,PGV(V)=   0.17,PGV(NS)=   0.30,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   7.04,PGV(SUM)=   0.31
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist= 179.18,BAZ=206.90,PGA(V)=   1.43,PGA(NS)=   2.75,PGA(EW)=   2.83,PGV(V)=   0.21,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   3.23,PGV(SUM)=   0.25
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist= 179.68,BAZ=212.29,PGA(V)=   1.64,PGA(NS)=   2.94,PGA(EW)=   4.91,PGV(V)=   0.15,PGV(NS)=   0.26,PGV(EW)=   0.40,Int= 2¯Å,PGA(SUM)=   5.77,PGV(SUM)=   0.45
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 181.97,BAZ=199.78,PGA(V)=   2.79,PGA(NS)=   8.67,PGA(EW)=   8.61,PGV(V)=   0.44,PGV(NS)=   0.45,PGV(EW)=   0.51,Int= 3¯Å,PGA(SUM)=   9.21,PGV(SUM)=   0.52
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist= 182.28,BAZ=222.47,PGA(V)=   3.39,PGA(NS)=   5.72,PGA(EW)=   9.17,PGV(V)=   0.27,PGV(NS)=   0.51,PGV(EW)=   0.65,Int= 3¯Å,PGA(SUM)=   9.17,PGV(SUM)=   0.72
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 182.59,BAZ=194.33,PGA(V)=   3.33,PGA(NS)=   5.50,PGA(EW)=   5.12,PGV(V)=   0.35,PGV(NS)=   0.49,PGV(EW)=   0.45,Int= 2¯Å,PGA(SUM)=   5.64,PGV(SUM)=   0.58
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist= 186.32,BAZ=213.25,PGA(V)=   2.14,PGA(NS)=   6.66,PGA(EW)=   4.62,PGV(V)=   0.23,PGV(NS)=   0.40,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   6.43,PGV(SUM)=   0.42
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist= 194.35,BAZ=216.92,PGA(V)=   2.84,PGA(NS)=   8.11,PGA(EW)=   5.88,PGV(V)=   0.21,PGV(NS)=   0.74,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=   8.06,PGV(SUM)=   0.79
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist= 197.06,BAZ=201.70,PGA(V)=   2.02,PGA(NS)=   3.09,PGA(EW)=   3.21,PGV(V)=   0.20,PGV(NS)=   0.43,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   3.68,PGV(SUM)=   0.47
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist= 199.88,BAZ=214.51,PGA(V)=   1.45,PGA(NS)=   3.86,PGA(EW)=   5.87,PGV(V)=   0.16,PGV(NS)=   0.35,PGV(EW)=   0.45,Int= 2¯Å,PGA(SUM)=   5.87,PGV(SUM)=   0.49
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist= 201.28,BAZ=220.73,PGA(V)=   1.10,PGA(NS)=   1.16,PGA(EW)=   2.03,PGV(V)=   0.13,PGV(NS)=   0.10,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.15,PGV(SUM)=   0.20
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist= 202.25,BAZ=198.06,PGA(V)=   1.92,PGA(NS)=   2.34,PGA(EW)=   2.45,PGV(V)=   0.22,PGV(NS)=   0.45,PGV(EW)=   0.39,Int= 2¯Å,PGA(SUM)=   2.77,PGV(SUM)=   0.51
Stacode=NHW ,Staname=·s«Î  ,Stalon=121.05,Stalat=25.01,Dist= 202.57,BAZ=193.87,PGA(V)=   1.72,PGA(NS)=   3.39,PGA(EW)=   3.72,PGV(V)=   0.19,PGV(NS)=   0.37,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   4.53,PGV(SUM)=   0.42
Stacode=NSX ,Staname=¤T®l  ,Stalon=121.37,Stalat=24.94,Dist= 206.10,BAZ=203.38,PGA(V)=   1.73,PGA(NS)=   2.64,PGA(EW)=   2.35,PGV(V)=   0.26,PGV(NS)=   0.34,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   2.96,PGV(SUM)=   0.48
Stacode=A124,Staname=¯Q¨Ó  ,Stalon=121.55,Stalat=24.86,Dist= 206.65,BAZ=208.95,PGA(V)=   1.01,PGA(NS)=   1.45,PGA(EW)=   1.75,PGV(V)=   0.11,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.07,PGV(SUM)=   0.17
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist= 208.30,BAZ=215.41,PGA(V)=   2.36,PGA(NS)=   4.11,PGA(EW)=   5.29,PGV(V)=   0.41,PGV(NS)=   0.61,PGV(EW)=   0.91,Int= 2¯Å,PGA(SUM)=   5.63,PGV(SUM)=   0.91
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist= 209.39,BAZ=200.68,PGA(V)=   1.36,PGA(NS)=   2.51,PGA(EW)=   2.82,PGV(V)=   0.27,PGV(NS)=   0.41,PGV(EW)=   0.55,Int= 2¯Å,PGA(SUM)=   2.91,PGV(SUM)=   0.55
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 214.67,BAZ=206.89,PGA(V)=   1.96,PGA(NS)=   4.76,PGA(EW)=   4.97,PGV(V)=   0.23,PGV(NS)=   0.36,PGV(EW)=   0.36,Int= 2¯Å,PGA(SUM)=   6.10,PGV(SUM)=   0.41
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist= 218.36,BAZ=204.91,PGA(V)=   2.43,PGA(NS)=   4.62,PGA(EW)=   3.81,PGV(V)=   0.26,PGV(NS)=   0.73,PGV(EW)=   0.61,Int= 2¯Å,PGA(SUM)=   4.93,PGV(SUM)=   0.75
Stacode=TWA ,Staname=¤ì¬]  ,Stalon=121.59,Stalat=24.98,Dist= 219.62,BAZ=208.24,PGA(V)=   1.39,PGA(NS)=   1.99,PGA(EW)=   2.31,PGV(V)=   0.21,PGV(NS)=   0.28,PGV(EW)=   0.29,Int= 1¯Å,PGA(SUM)=   2.44,PGV(SUM)=   0.32
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist= 220.73,BAZ=215.50,PGA(V)=   1.74,PGA(NS)=   3.86,PGA(EW)=   5.39,PGV(V)=   0.23,PGV(NS)=   0.52,PGV(EW)=   0.46,Int= 2¯Å,PGA(SUM)=   5.45,PGV(SUM)=   0.60
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist= 221.90,BAZ=205.62,PGA(V)=   1.38,PGA(NS)=   3.05,PGA(EW)=   2.78,PGV(V)=   0.18,PGV(NS)=   0.45,PGV(EW)=   0.49,Int= 2¯Å,PGA(SUM)=   3.14,PGV(SUM)=   0.56
Stacode=TWS1,Staname=¤­ªÑ  ,Stalon=121.42,Stalat=25.10,Dist= 224.58,BAZ=202.71,PGA(V)=   1.29,PGA(NS)=   1.73,PGA(EW)=   1.75,PGV(V)=   0.36,PGV(NS)=   0.27,PGV(EW)=   0.35,Int= 1¯Å,PGA(SUM)=   2.02,PGV(SUM)=   0.44
Stacode=EGS ,Staname=Àt¤s®q,Stalon=121.94,Stalat=24.84,Dist= 226.69,BAZ=218.05,PGA(V)=   0.87,PGA(NS)=   1.59,PGA(EW)=   1.12,PGV(V)=   0.12,PGV(NS)=   0.16,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.24
Stacode=TIPB,Staname=Âù·Ë  ,Stalon=121.83,Stalat=24.97,Dist= 231.23,BAZ=213.50,PGA(V)=   0.88,PGA(NS)=   1.27,PGA(EW)=   1.28,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.17
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist= 231.54,BAZ=208.02,PGA(V)=   1.13,PGA(NS)=   3.80,PGA(EW)=   3.66,PGV(V)=   0.18,PGV(NS)=   0.26,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   4.19,PGV(SUM)=   0.32
Stacode=NTS ,Staname=²H¤ô  ,Stalon=121.45,Stalat=25.16,Dist= 232.02,BAZ=202.64,PGA(V)=   1.32,PGA(NS)=   2.89,PGA(EW)=   2.16,PGV(V)=   0.23,PGV(NS)=   0.41,PGV(EW)=   0.42,Int= 2¯Å,PGA(SUM)=   3.00,PGV(SUM)=   0.54
Stacode=ANP ,Staname=¶§©ú¤s,Stalon=121.53,Stalat=25.18,Dist= 237.13,BAZ=204.27,PGA(V)=   0.64,PGA(NS)=   2.15,PGA(EW)=   1.18,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   2.31,PGV(SUM)=   0.20
Stacode=NWF ,Staname=¤­¤À¤s,Stalon=121.78,Stalat=25.07,Dist= 238.14,BAZ=211.13,PGA(V)=   1.24,PGA(NS)=   6.38,PGA(EW)=   4.28,PGV(V)=   0.19,PGV(NS)=   0.58,PGV(EW)=   0.43,Int= 2¯Å,PGA(SUM)=   7.02,PGV(SUM)=   0.72
Stacode=TWB1,Staname=¤T¶I¨¤,Stalon=122.00,Stalat=25.01,Dist= 244.39,BAZ=216.41,PGA(V)=   0.42,PGA(NS)=   0.96,PGA(EW)=   1.27,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.14
Stacode=NWR ,Staname=¸U¨½  ,Stalon=121.66,Stalat=25.20,Dist= 244.81,BAZ=206.90,PGA(V)=   0.46,PGA(NS)=   1.62,PGA(EW)=   0.97,PGV(V)=   0.10,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.14
Stacode=NOU ,Staname=°ò¶©¥«,Stalon=121.77,Stalat=25.15,Dist= 245.13,BAZ=209.91,PGA(V)=   0.73,PGA(NS)=   1.11,PGA(EW)=   1.11,PGV(V)=   0.14,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.20
Stacode=NSM ,Staname=¥Ûªù  ,Stalon=121.59,Stalat=25.29,Dist= 250.18,BAZ=204.42,PGA(V)=   0.85,PGA(NS)=   1.22,PGA(EW)=   1.20,PGV(V)=   0.14,PGV(NS)=   0.21,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.21
Stacode=MSU ,Staname=°¨¯ª  ,Stalon=119.92,Stalat=26.17,Dist= 331.97,BAZ=168.63,PGA(V)=   0.98,PGA(NS)=   1.01,PGA(EW)=   1.40,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.07
