Origin Time:2025/01/21 00:17:27
Lon:120.57¢XE
Lat:23.23¢XN
Depth:9.7km
Mag:6.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   5.54,BAZ=255.17,PGA(V)= 493.40,PGA(NS)= 892.15,PGA(EW)=2104.96,PGV(V)=   8.93,PGV(NS)=  30.98,PGV(EW)=  72.95,Int= 6®z,PGA(SUM)=2057.49,PGV(SUM)=  79.10
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  48.89,BAZ=234.51,PGA(V)=  17.84,PGA(NS)=  35.76,PGA(EW)=  50.35,PGV(V)=   1.15,PGV(NS)=   2.33,PGV(EW)=   4.25,Int= 4¯Å,PGA(SUM)=  54.26,PGV(SUM)=   4.31
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  50.21,BAZ=180.03,PGA(V)=  24.83,PGA(NS)=  53.17,PGA(EW)=  58.01,PGV(V)=   1.26,PGV(NS)=   3.67,PGV(EW)=   2.43,Int= 4¯Å,PGA(SUM)=  60.50,PGV(SUM)=   3.69
Stacode=D009,Staname=¸ô¦Ë  ,Stalon=120.26,Stalat=22.87,Dist=  51.01,BAZ= 37.89,PGA(V)=  18.35,PGA(NS)=  53.47,PGA(EW)=  52.60,PGV(V)=   2.46,PGV(NS)=   6.85,PGV(EW)=   7.90,Int= 4¯Å,PGA(SUM)=  65.00,PGV(SUM)=   8.40
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  53.69,BAZ=176.56,PGA(V)=  28.23,PGA(NS)=  52.25,PGA(EW)=  52.57,PGV(V)=   1.19,PGV(NS)=   3.81,PGV(EW)=   4.55,Int= 4¯Å,PGA(SUM)=  54.61,PGV(SUM)=   5.35
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  53.86,BAZ=159.87,PGA(V)=  43.70,PGA(NS)=  81.05,PGA(EW)= 103.25,PGV(V)=   1.17,PGV(NS)=   3.89,PGV(EW)=   3.89,Int= 4¯Å,PGA(SUM)= 106.88,PGV(SUM)=   4.25
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  54.37,BAZ=352.42,PGA(V)=  41.93,PGA(NS)=  45.62,PGA(EW)=  50.68,PGV(V)=   2.22,PGV(NS)=   2.63,PGV(EW)=   3.13,Int= 4¯Å,PGA(SUM)=  63.40,PGV(SUM)=   3.29
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  56.69,BAZ=  7.41,PGA(V)=   7.33,PGA(NS)=  26.99,PGA(EW)=  20.21,PGV(V)=   1.77,PGV(NS)=   4.20,PGV(EW)=   4.42,Int= 4¯Å,PGA(SUM)=  27.85,PGV(SUM)=   5.79
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  56.77,BAZ=142.24,PGA(V)=  36.93,PGA(NS)= 119.94,PGA(EW)= 110.76,PGV(V)=   1.30,PGV(NS)=   4.90,PGV(EW)=   4.38,Int= 4¯Å,PGA(SUM)= 124.32,PGV(SUM)=   4.94
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  58.12,BAZ= 24.47,PGA(V)=  17.25,PGA(NS)=  48.37,PGA(EW)=  32.86,PGV(V)=   0.95,PGV(NS)=   4.84,PGV(EW)=   2.76,Int= 4¯Å,PGA(SUM)=  49.61,PGV(SUM)=   4.88
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  58.72,BAZ=352.51,PGA(V)=  12.44,PGA(NS)=  28.86,PGA(EW)=  27.94,PGV(V)=   1.42,PGV(NS)=   1.36,PGV(EW)=   2.46,Int= 4¯Å,PGA(SUM)=  31.75,PGV(SUM)=   2.56
